"","tree_id","tree_dbh","curb_loc","health","sidewalk","root_stone","root_grate","trunk_wire","brch_light"
"260",363992,4,"1","1","0","0","0","0","0"
"261",364018,16,"1","1","0","1","0","0","0"
"262",363952,7,"1","1","0","0","0","0","0"
"263",363765,34,"1","1","0","0","0","0","0"
"264",361731,19,"1","1","0","0","0","0","0"
"265",363789,39,"1","1","0","1","0","0","0"
"266",361728,2,"1","1","0","0","0","0","0"
"267",363993,4,"1","1","0","0","0","0","0"
"268",363804,37,"1","1","1","1","0","0","0"
"270",363788,37,"1","1","1","0","0","0","0"
"271",363953,8,"1","1","0","0","0","0","0"
"273",364231,7,"1","1","0","0","0","0","0"
"274",363951,9,"1","1","0","0","0","0","0"
"275",371617,3,"1","1","0","0","0","0","0"
"276",361166,12,"0","1","0","0","0","0","0"
"278",360809,14,"1","1","0","0","0","0","0"
"279",363768,31,"1","1","1","0","0","0","0"
"280",363911,6,"1","1","0","0","0","0","0"
"281",363767,32,"1","1","1","0","0","0","0"
"282",361159,26,"1","1","1","0","0","0","0"
"283",361729,17,"1","1","0","0","0","0","0"
"284",361730,2,"1","1","0","0","0","0","0"
"285",364017,40,"1","1","1","0","0","0","0"
"286",363769,32,"1","1","0","0","0","0","0"
"287",364047,31,"1","1","0","0","0","0","0"
"288",361160,29,"1","1","1","0","0","0","0"
"289",361161,22,"1","1","1","0","0","0","0"
"290",361158,24,"1","1","1","0","0","0","0"
"291",361157,24,"1","1","1","0","0","0","0"
"292",363810,24,"1","1","1","0","0","0","0"
"293",364185,24,"1","1","0","0","0","0","0"
"294",361156,30,"1","1","0","1","0","0","0"
"295",364230,16,"1","1","1","0","0","0","0"
"296",364186,24,"1","1","1","1","0","0","0"
"297",361163,27,"1","1","1","0","0","0","0"
"298",364184,18,"1","1","0","0","0","0","0"
"299",363808,13,"1","1","0","0","0","0","0"
"300",361167,9,"0","1","1","0","0","0","0"
"301",363954,15,"1","1","0","0","0","0","0"
"302",371616,3,"1","1","0","0","0","0","0"
"304",371618,2,"1","1","0","0","0","0","0"
"306",363835,25,"1","1","1","0","0","0","0"
"307",364136,12,"1","1","1","0","0","0","0"
"308",364233,11,"1","1","0","0","0","0","0"
"309",361164,17,"1","1","1","0","0","0","0"
"310",364128,11,"1","1","0","0","0","0","0"
"311",364130,18,"1","1","0","0","0","0","0"
"312",371620,4,"1","1","0","0","0","0","0"
"313",361044,5,"1","1","0","0","0","0","0"
"314",364122,20,"1","1","1","0","0","0","0"
"316",364016,29,"1","1","0","0","0","0","0"
"317",363805,34,"1","1","1","1","0","0","0"
"318",363806,37,"1","1","0","0","0","0","0"
"319",371793,18,"1","1","1","1","0","0","0"
"320",364124,7,"1","1","0","0","0","0","0"
"321",364129,12,"1","1","0","0","0","0","0"
"322",361043,4,"1","1","0","0","0","0","0"
"323",188266,7,"1","1","0","0","0","0","0"
"324",371794,12,"1","1","1","0","0","0","0"
"325",364133,13,"1","1","1","0","0","0","0"
"326",361042,4,"1","1","0","0","0","0","0"
"327",361862,11,"0","1","0","0","0","0","0"
"328",361861,17,"1","1","0","0","0","0","0"
"329",371795,17,"1","1","1","0","0","0","0"
"330",364049,19,"1","1","1","0","0","0","0"
"331",361165,8,"1","1","0","0","0","0","0"
"332",371577,7,"1","1","1","0","0","0","0"
"333",371796,13,"1","1","1","1","0","0","0"
"334",363727,3,"1","1","0","0","0","0","0"
"335",361045,8,"0","1","0","0","0","0","0"
"336",364125,6,"1","1","0","0","0","0","0"
"337",364048,17,"1","1","1","0","0","0","0"
"338",364135,11,"1","1","1","0","0","0","0"
"339",361854,5,"1","1","0","0","0","0","0"
"340",371579,1,"1","1","0","0","0","0","0"
"341",361853,5,"1","1","0","0","0","0","0"
"342",363941,33,"1","1","0","0","0","0","0"
"343",371791,16,"1","1","0","0","0","0","0"
"344",371574,32,"1","1","1","1","0","0","0"
"345",371573,31,"1","1","1","0","0","0","0"
"346",371576,27,"1","1","1","0","0","0","0"
"347",371575,27,"1","1","1","0","0","0","0"
"348",363991,4,"1","1","0","0","0","0","0"
"349",363910,18,"1","1","0","0","0","0","0"
"350",371580,42,"1","1","1","1","0","0","0"
"351",363944,9,"1","1","0","0","0","0","0"
"352",361856,9,"1","1","0","0","0","0","0"
"353",364131,19,"1","1","0","0","0","0","0"
"354",363787,1,"1","1","0","0","0","0","0"
"355",364187,2,"1","1","0","0","0","0","0"
"356",363729,4,"1","1","0","0","0","0","0"
"357",361727,11,"1","1","0","0","0","0","0"
"358",363786,1,"1","1","0","0","0","0","0"
"359",361726,10,"1","1","1","0","0","0","0"
"360",361855,4,"0","1","0","0","0","0","0"
"361",364158,4,"1","1","0","0","0","0","0"
"362",364161,15,"1","1","1","0","0","0","0"
"363",364155,8,"1","1","0","0","0","0","0"
"365",364160,8,"1","1","0","0","0","0","0"
"366",364126,17,"1","1","1","0","0","0","0"
"367",371884,14,"1","1","1","0","0","0","0"
"368",364159,1,"1","1","0","0","0","0","0"
"369",371883,11,"1","1","1","1","0","0","0"
"370",371571,4,"1","1","0","0","0","0","0"
"371",371570,3,"1","1","0","0","0","0","0"
"372",364156,8,"1","1","0","0","0","0","0"
"373",371520,40,"1","1","1","0","0","0","0"
"374",371888,13,"1","1","1","1","0","0","0"
"375",371886,10,"1","1","1","1","0","0","0"
"376",362801,39,"0","1","0","0","0","0","0"
"377",371887,12,"1","1","1","1","0","0","0"
"378",362797,32,"0","1","0","0","0","0","0"
"379",364134,12,"1","1","0","0","0","0","0"
"380",364123,7,"1","1","0","0","0","0","0"
"381",362792,38,"0","1","0","0","0","0","0"
"382",371891,12,"1","1","1","0","0","0","0"
"383",364132,18,"1","1","1","0","0","0","0"
"384",371790,16,"1","1","1","0","0","0","0"
"385",371789,17,"1","1","1","0","0","0","0"
"386",363809,15,"1","1","0","0","0","0","0"
"387",361859,5,"1","1","0","0","0","0","0"
"388",362302,9,"0","1","0","0","0","0","0"
"389",361858,4,"0","1","0","0","0","0","0"
"390",361857,4,"0","1","0","0","0","0","0"
"391",362291,19,"0","1","0","0","0","0","0"
"392",362295,18,"0","1","0","0","0","0","0"
"393",362296,20,"0","1","0","0","0","0","0"
"394",362293,21,"0","1","0","0","0","0","0"
"395",362297,16,"0","1","0","0","0","0","0"
"396",362305,23,"0","1","0","0","0","0","0"
"397",362304,22,"1","1","0","0","0","0","0"
"398",362292,18,"0","1","0","0","0","0","0"
"399",363663,5,"1","1","0","0","0","0","0"
"400",362298,5,"0","1","0","0","0","0","0"
"401",363807,2,"1","1","0","0","0","0","0"
"402",362303,13,"0","1","0","0","0","0","0"
"403",362301,12,"0","1","0","0","0","0","0"
"404",361860,4,"1","1","0","0","0","0","0"
"405",371799,6,"1","1","0","0","0","0","0"
"406",371625,4,"1","1","0","0","0","0","0"
"407",371890,7,"1","1","0","0","0","0","0"
"408",362300,10,"1","1","0","0","0","0","0"
"409",363785,2,"1","1","0","0","0","0","0"
"410",371657,4,"1","1","0","0","0","0","0"
"411",363665,4,"1","1","1","0","0","0","0"
"412",371800,19,"1","1","1","1","0","0","0"
"413",362802,28,"0","1","0","0","0","0","0"
"414",362794,36,"0","1","0","0","0","0","0"
"415",371802,10,"1","1","1","1","0","0","0"
"416",362798,30,"0","1","1","0","0","0","0"
"417",371889,14,"1","1","1","1","0","0","0"
"418",371798,11,"1","1","0","0","0","0","0"
"419",371797,13,"1","1","0","0","0","0","0"
"420",362799,25,"0","1","0","0","0","0","0"
"421",362800,32,"0","1","0","0","0","0","0"
"422",362796,22,"0","1","0","0","0","0","0"
"423",362791,27,"0","1","1","0","0","0","0"
